,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate,ask_rate,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
2677,2010-05-20,1.8634,1.861,1.8712,1.8474,1.8474,1.8712,6.75,7.0,6.75,7.0,0.1,0.25
2678,2010-05-21,1.8674,1.8696,1.8779,1.8534,1.8534,1.8779,6.75,7.0,6.75,7.0,0.1,0.25
2679,2010-05-24,0.32,0.15,0.35,0.05,0.05,0.35,6.75,7.0,6.75,7.0,0.1,0.25
2680,2010-05-25,1.8531,1.8567,1.8583,1.8437,1.8437,1.8583,6.75,7.0,6.75,7.0,0.1,0.25
2681,2010-05-26,1.8514,1.8507,1.8595,1.8448,1.8448,1.8595,6.75,7.0,6.75,7.0,0.1,0.25
2682,2010-05-27,1.8519999999999999,1.8522,1.8615,1.8412,1.8412,1.8615,6.75,7.0,6.75,7.0,0.1,0.25
2683,2010-05-28,1.8567,1.8501,1.8617,1.8463,1.8463,1.8617,6.75,7.0,6.75,7.0,0.1,0.25
2684,2010-05-31,1.8523,1.8573,1.8573,1.8519,1.8519,1.8573,6.75,7.0,6.75,7.0,0.1,0.25
2685,2010-06-01,1.849,1.8545,1.8581,1.8388,1.8388,1.8581,6.75,7.0,6.75,7.0,0.1,0.25
2686,2010-06-02,1.8476,1.8464,1.8553,1.838,1.838,1.8553,6.75,7.0,6.75,7.0,0.1,0.25
2687,2010-06-03,1.8491,1.8531,1.8574,1.8419,1.8419,1.8574,6.75,7.0,6.75,7.0,0.1,0.25
2688,2010-06-04,1.837,1.8487,1.8497,1.8291,1.8291,1.8497,6.75,7.0,6.75,7.0,0.1,0.25
2689,2010-06-07,1.8359,1.8384,1.8389,1.8267,1.8267,1.8389,6.75,7.0,6.75,7.0,0.1,0.25
2690,2010-06-08,1.8336,1.8355,1.8431,1.8263,1.8263,1.8431,6.75,7.0,6.75,7.0,0.1,0.25
2691,2010-06-09,1.8408,1.8307,1.8475,1.8281,1.8281,1.8475,6.75,7.0,6.75,7.0,0.1,0.25
2692,2010-06-10,1.8445,1.8359,1.8533,1.8316,1.8316,1.8533,6.75,7.0,6.75,7.0,0.1,0.25
